,adult,backdrop_path,id,original_language,original_title,popularity,poster_path,release_date,title,vote_average,vote_count
0,FALSE,/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,278,en,The Shawshank Redemption,152.053,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,9/23/1994,The Shawshank Redemption,8.706,26434
1,FALSE,/tmU7GeKVybMWFButWEGl2M4GeiP.jpg,238,en,The Godfather,163.637,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,3/14/1972,The Godfather,8.692,20061
2,FALSE,/b6w7gKLQLS2zw4JK0XmKgQ4gnzr.jpg,240,en,The Godfather Part II,113.796,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,12/20/1974,The Godfather Part II,8.6,12107
3,FALSE,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,424,en,Schindler's List,98.538,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,12/15/1993,Schindler's List,8.567,15512
4,FALSE,/qqHQsStV6exghCM7zbObuYBiYxw.jpg,389,en,12 Angry Men,73.848,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,4/10/1957,12 Angry Men,8.543,8349
5,FALSE,/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg,19404,hi,दिलवाले दुल्हनिया ले जायेंगे,53.429,/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,10/20/1995,Dilwale Dulhania Le Jayenge,8.537,4403
6,FALSE,/m4TUa2ciEWSlk37rOsjiSIvZDXE.jpg,129,ja,千と千尋の神隠し,121.907,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,7/20/2001,Spirited Away,8.537,16096
7,FALSE,/dqK9Hag1054tghRQSqLSfrkvQnA.jpg,155,en,The Dark Knight,149.802,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,7/16/2008,The Dark Knight,8.516,32190
8,FALSE,/8eihUxjQsJ7WvGySkVMC0EwbPAD.jpg,496243,ko,기생충,102.907,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,5/30/2019,Parasite,8.509,17733
9,FALSE,/vxJ08SvwomfKbpboCWynC3uqUg4.jpg,497,en,The Green Mile,93.748,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,12/10/1999,The Green Mile,8.506,16972
10,FALSE,/dIWwZW7dJJtqC6CgWzYkNVKIUm8.jpg,372058,ja,君の名は。,98.063,/q719jXXEzOoYaps6babgKnONONX.jpg,8/26/2016,Your Name.,8.49,11085
11,FALSE,/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg,680,en,Pulp Fiction,99.357,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,9/10/1994,Pulp Fiction,8.487,27343
